序号,国家/地区,中文校名,外文校名
98,印度,阿里格尔穆斯林大学,Aligarh Muslim University
99,印度,提尔塔阿玉酒店农业大学,Tamil Nadu Agricultural University
100,印度,全印医科大学,All India Institute of Medical Sciences
101,印度,印度管理研究所-勒克瑙,Indian Institute of Management (IIM) - Lucknow
102,印度,共生博雅学校,Symbiosis International (Deemed University)
103,印度,英吉拉·,甘地发展研究所 Indira Gandhi Institute of Development and Research
104,英国,伯明翰城市大学,Birmingham City University
105,英国,皇家北方音乐学院,Royal Northern College of Music (RNCM)
106,英国,林肯大学,University of Lincoln
107,越南,河内科技大学,Hanoi University of Science and Technology
108,智利,塔拉帕卡大学,Universidad de Tarapaca
109,中国澳门,澳门科技大学,Macau University of Science and Technology
110,中国台湾,实践大学,Shih Chien University
